Step,ActiveGroups,CycleOrder,Selected,Vehicles,GreenTime
461,"['north', 'west']",[],north,5,25
462,"['north', 'west']","['north', 'west']",north,5,25
463,"['north', 'west']","['north', 'west']",west,2,12
464,"['north', 'west']",[],north,5,25
465,"['north', 'west']","['north', 'west']",north,5,25
466,"['north', 'west']","['north', 'west']",west,3,15
467,"['north', 'west']",[],north,5,25
468,"['north', 'west']","['north', 'west']",north,5,25
469,"['north', 'west']","['north', 'west']",west,3,15
470,"['north', 'west']",[],north,5,25
471,"['north', 'west']","['north', 'west']",north,5,25
472,"['north', 'west']","['north', 'west']",west,2,12
473,"['north', 'west']",[],north,5,25
474,"['north', 'west']","['north', 'west']",north,5,25
475,"['north', 'west']","['north', 'west']",west,2,12
476,"['north', 'west']",[],north,5,25
477,"['north', 'west']","['north', 'west']",north,5,25
478,"['north', 'west']","['north', 'west']",west,2,12
479,"['north', 'west']",[],north,5,25
480,"['north', 'west']","['north', 'west']",north,5,25
481,"['north', 'west']","['north', 'west']",west,3,15
482,"['north', 'west']",[],north,5,25
483,"['north', 'west']","['north', 'west']",north,5,25
484,"['north', 'west']","['north', 'west']",west,3,15
485,"['north', 'west']",[],north,5,25
486,"['north', 'west']","['north', 'west']",north,5,25
487,"['north', 'west']","['north', 'west']",west,2,12
488,"['north', 'west']",[],north,5,25
489,"['north', 'west']","['north', 'west']",north,5,25
490,"['north', 'west']","['north', 'west']",west,2,12
491,"['north', 'west']",[],north,5,25
492,"['north', 'west']","['north', 'west']",north,5,25
493,"['north', 'west']","['north', 'west']",west,2,12
494,"['north', 'west']",[],north,5,25
495,"['north', 'west']","['north', 'west']",north,5,25
496,"['north', 'west']","['north', 'west']",west,2,12
497,"['north', 'west']",[],north,5,25
498,"['north', 'west']","['north', 'west']",north,5,25
499,"['north', 'west']","['north', 'west']",west,2,12
500,"['north', 'west']",[],north,5,25
501,"['north', 'west']","['north', 'west']",north,5,25
502,"['north', 'west']","['north', 'west']",west,3,15
503,"['north', 'west']",[],north,5,25
504,"['north', 'west']","['north', 'west']",north,5,25
505,"['north', 'west']","['north', 'west']",west,3,15
506,"['north', 'west']",[],north,5,25
507,"['north', 'west']","['north', 'west']",north,5,25
508,"['north', 'west']","['north', 'west']",west,3,15
509,"['north', 'west']",[],north,5,25
510,"['north', 'west']","['north', 'west']",north,5,25
511,"['north', 'west']","['north', 'west']",west,4,20
512,"['north', 'west']",[],north,5,25
513,"['north', 'west']","['north', 'west']",north,5,25
514,"['north', 'west']","['north', 'west']",west,2,12
515,"['north', 'west']",[],north,5,25
516,"['north', 'west']","['north', 'west']",north,5,25
517,"['north', 'west']","['north', 'west']",west,1,12
518,['north'],[],north,5,25
519,['north'],['north'],north,5,25
520,['north'],[],north,5,25
521,['north'],['north'],north,5,25
522,['north'],[],north,5,25
523,['north'],['north'],north,5,25
524,['north'],[],north,5,25
525,['north'],['north'],north,5,25
526,['north'],[],north,5,25
527,['north'],['north'],north,5,25
528,['north'],[],north,5,25
529,['north'],['north'],north,5,25
530,['north'],[],north,5,25
531,['north'],['north'],north,5,25
532,['north'],[],north,4,20
533,['north'],['north'],north,4,20
534,['north'],[],north,4,20
535,['north'],['north'],north,3,15
536,['north'],[],north,3,15
537,['north'],['north'],north,3,15
538,['north'],[],north,3,15
539,['north'],['north'],north,3,15
540,['north'],[],north,3,15
541,['north'],['north'],north,3,15
542,['north'],[],north,3,15
543,['north'],['north'],north,3,15
544,['north'],[],north,3,15
545,['north'],['north'],north,3,15
546,['north'],[],north,2,12
547,['north'],['north'],north,3,15
548,['north'],[],north,3,15
549,['north'],['north'],north,2,12
550,['north'],[],north,3,15
551,['north'],['north'],north,4,20
552,['north'],[],north,3,15
553,['north'],['north'],north,3,15
554,['north'],[],north,4,20
555,['north'],['north'],north,3,15
556,['north'],[],north,2,12
557,['north'],['north'],north,3,15
558,['north'],[],north,3,15
559,['north'],['north'],north,3,15
560,['north'],[],north,3,15
561,['north'],['north'],north,4,20
562,['north'],[],north,3,15
563,['north'],['north'],north,2,12
564,['north'],[],north,3,15
565,['north'],['north'],north,4,20
566,['north'],[],north,3,15
567,['north'],['north'],north,3,15
568,['north'],[],north,3,15
569,['north'],['north'],north,3,15
570,['north'],[],north,3,15
571,['north'],['north'],north,3,15
572,['north'],[],north,2,12
573,['north'],['north'],north,2,12
574,['north'],[],north,2,12
575,['north'],['north'],north,2,12
576,['north'],[],north,2,12
577,['north'],['north'],north,2,12
578,['north'],[],north,2,12
579,['north'],['north'],north,2,12
580,['north'],[],north,3,15
581,['north'],['north'],north,3,15
582,['north'],[],north,3,15
583,['north'],['north'],north,3,15
584,['north'],[],north,3,15
585,['north'],['north'],north,3,15
586,['north'],[],north,4,20
587,['north'],['north'],north,2,12
588,['north'],[],north,2,12
589,['north'],['north'],north,3,15
590,['north'],[],north,3,15
591,['north'],['north'],north,3,15
592,['north'],[],north,3,15
593,['north'],['north'],north,3,15
594,['north'],[],north,4,20
595,['north'],['north'],north,4,20
596,['north'],[],north,3,15
597,['north'],['north'],north,3,15
598,['north'],[],north,3,15
599,['north'],['north'],north,3,15
600,['north'],[],north,3,15
601,['north'],['north'],north,3,15
602,['north'],[],north,2,12
603,['north'],['north'],north,2,12
604,['north'],[],north,3,15
605,['north'],['north'],north,2,12
606,['north'],[],north,2,12
607,['north'],['north'],north,2,12
608,['north'],[],north,3,15
609,['north'],['north'],north,3,15
610,['north'],[],north,2,12
611,['north'],['north'],north,3,15
612,['north'],[],north,3,15
613,['north'],['north'],north,2,12
614,['north'],[],north,3,15
615,['north'],['north'],north,3,15
616,['north'],[],north,4,20
617,['north'],['north'],north,3,15
618,['north'],[],north,3,15
619,['north'],['north'],north,4,20
620,['north'],[],north,3,15
621,['north'],['north'],north,3,15
622,['north'],[],north,3,15
623,['north'],['north'],north,3,15
624,['north'],[],north,3,15
625,['north'],['north'],north,3,15
626,['north'],[],north,2,12
627,['north'],['north'],north,2,12
628,['north'],[],north,3,15
629,['north'],['north'],north,3,15
630,['north'],[],north,2,12
631,['north'],['north'],north,3,15
632,['north'],[],north,3,15
633,['north'],['north'],north,3,15
634,['north'],[],north,3,15
