Step,North,East,South,West,GreenTime
424,9,8,8,4,15
425,9,8,8,4,15
426,9,8,8,4,15
427,9,8,8,4,15
428,9,8,8,3,15
429,9,8,8,3,15
430,9,8,8,3,15
431,9,8,8,4,15
432,9,8,8,4,15
433,7,8,8,4,15
434,7,8,8,5,15
435,7,8,8,6,15
436,5,8,8,6,15
437,5,8,8,6,15
438,5,8,8,7,15
439,4,8,8,7,15
440,4,8,8,8,15
441,2,8,8,8,15
442,3,8,8,8,15
443,3,8,8,9,15
444,2,8,8,9,15
445,3,8,8,9,15
446,4,8,8,9,15
447,3,8,8,9,15
448,3,8,8,9,15
449,4,8,8,9,15
450,4,8,8,9,15
451,4,6,8,9,15
452,5,6,8,9,15
453,5,6,8,9,15
454,5,5,8,9,15
455,5,4,8,9,15
456,5,3,8,9,15
457,5,3,8,9,15
458,5,3,8,9,15
459,5,3,8,9,15
460,5,2,8,9,15
461,5,3,8,9,15
462,5,3,8,9,15
463,5,3,8,9,15
464,5,2,8,9,15
465,5,3,8,9,15
466,5,3,8,9,15
467,5,3,8,9,15
468,5,4,8,9,15
469,5,4,6,9,15
470,5,4,6,9,15
471,5,4,6,9,15
472,5,4,5,9,15
473,5,4,4,9,15
474,5,4,4,9,15
475,5,4,3,9,15
476,5,4,3,9,15
477,5,4,3,9,15
478,5,4,3,9,15
479,5,4,3,9,15
480,5,4,3,9,15
481,5,4,3,9,15
482,5,4,2,9,15
483,5,4,3,9,15
484,5,4,2,9,15
485,5,4,2,9,15
486,5,4,3,9,15
487,5,4,3,7,15
488,5,4,3,7,15
489,5,4,4,7,15
490,5,4,5,5,15
491,5,4,5,5,15
492,5,4,6,5,15
493,5,4,6,4,15
494,5,4,6,4,15
495,5,4,7,2,15
496,5,4,8,3,15
497,5,4,8,2,15
498,5,4,8,2,15
499,5,4,9,3,15
500,5,4,9,2,15
501,5,4,9,2,15
502,5,4,9,3,15
503,5,4,9,3,15
504,5,4,9,3,15
505,3,4,9,4,15
506,3,4,9,4,15
507,3,4,9,4,15
508,1,4,9,5,15
509,1,4,9,6,15
510,1,4,9,6,15
511,0,4,9,6,15
512,0,4,9,6,15
513,0,4,9,6,15
514,0,4,9,6,15
515,0,4,9,7,15
516,0,4,9,8,15
517,0,4,9,8,15
518,0,4,9,8,15
519,0,4,9,9,15
520,0,4,9,9,15
521,0,4,9,9,15
522,0,4,9,9,15
523,0,2,9,9,15
524,0,2,9,9,15
525,0,2,9,9,15
526,0,0,9,9,15
527,0,0,9,9,15
528,0,0,9,9,15
529,0,0,9,9,15
530,0,0,9,9,15
531,0,0,9,9,15
532,0,0,9,9,15
533,0,0,9,9,15
534,0,0,9,9,15
535,0,0,9,9,15
536,0,0,9,9,15
537,0,0,9,9,15
538,0,0,9,9,15
539,0,0,9,9,15
540,0,0,9,9,15
541,0,0,7,9,15
542,0,0,7,9,15
543,0,0,7,9,15
544,0,0,5,9,15
545,0,0,5,9,15
546,0,0,5,9,15
547,0,0,3,9,15
548,0,0,3,9,15
549,0,0,1,9,15
550,0,0,1,9,15
551,0,0,1,9,15
552,0,0,0,9,15
553,0,0,0,9,15
554,0,0,0,9,15
555,0,0,0,9,15
556,0,0,0,9,15
557,0,0,0,9,15
558,0,0,0,9,15
559,0,0,0,7,15
560,0,0,0,7,15
561,0,0,0,7,15
562,0,0,0,7,15
563,0,0,0,5,15
564,0,0,0,5,15
565,0,0,0,4,15
566,0,0,0,5,15
567,0,0,0,4,15
568,0,0,0,3,15
569,0,0,0,4,15
570,0,0,0,4,15
571,0,0,0,3,15
572,0,0,0,2,15
573,0,0,0,2,15
574,0,0,0,2,15
575,0,0,0,2,15
576,0,0,0,2,15
577,0,0,0,2,15
578,0,0,0,2,15
579,0,0,0,2,15
580,0,0,0,2,15
581,0,0,0,2,15
582,0,0,0,2,15
583,0,0,0,2,15
584,0,0,0,2,15
585,0,0,0,2,15
586,0,0,0,2,15
587,0,0,0,2,15
588,0,0,0,2,15
589,0,0,0,2,15
590,0,0,0,2,15
591,0,0,0,2,15
592,0,0,0,2,15
593,0,0,0,2,15
594,0,0,0,2,15
595,0,0,0,2,15
596,0,0,0,2,15
597,0,0,0,2,15
598,0,0,0,2,15
599,0,0,0,2,15
600,0,0,0,2,15
601,0,0,0,2,15
602,0,0,0,2,15
603,0,0,0,2,15
604,0,0,0,2,15
605,0,0,0,2,15
606,0,0,0,2,15
607,0,0,0,2,15
608,0,0,0,2,15
609,0,0,0,2,15
610,0,0,0,2,15
611,0,0,0,2,15
612,0,0,0,2,15
613,0,0,0,2,15
614,0,0,0,2,15
615,0,0,0,2,15
616,0,0,0,2,15
617,0,0,0,2,15
618,0,0,0,2,15
619,0,0,0,2,15
620,0,0,0,2,15
621,0,0,0,2,15
622,0,0,0,2,15
623,0,0,0,2,15
624,0,0,0,2,15
625,0,0,0,2,15
626,0,0,0,2,15
627,0,0,0,2,15
628,0,0,0,2,15
629,0,0,0,2,15
630,0,0,0,2,15
631,0,0,0,1,15
632,0,0,0,1,15
633,0,0,0,1,15
634,0,0,0,0,15
635,0,0,0,0,15
636,0,0,0,0,15
637,0,0,0,0,15
638,0,0,0,0,15
639,0,0,0,0,15
