Step,North,East,South,West,SelectedGroup,YOLO_Total,Fused_Total,GreenTime
235,6,6,4,8,west,0,24,45
236,6,7,5,8,north,0,26,40
237,6,8,3,8,east,0,25,45
238,6,8,3,8,south,0,25,21
239,6,9,4,8,east,0,27,45
240,6,9,3,8,east,0,26,45
241,6,9,2,8,west,0,25,44
242,6,9,3,8,north,0,26,36
243,6,9,3,8,south,0,26,21
244,6,10,3,8,east,0,27,45
245,6,10,3,8,east,0,27,45
246,6,10,3,8,west,0,27,45
247,6,10,3,8,north,0,27,36
248,6,10,3,8,south,0,27,21
249,6,10,2,8,east,0,26,45
250,6,10,2,8,east,0,26,45
251,6,10,2,8,west,0,26,44
252,6,10,2,8,north,0,26,34
253,6,10,3,8,south,0,27,21
254,6,10,3,8,east,0,27,45
255,6,10,3,8,east,0,27,45
256,6,10,3,8,west,0,27,45
257,6,10,3,8,north,0,27,36
258,6,10,3,8,south,0,27,21
259,6,10,4,8,east,0,28,45
260,6,10,4,8,east,0,28,45
261,6,8,3,8,west,0,25,45
262,6,8,3,8,north,0,25,36
263,6,8,3,8,south,0,25,21
264,6,7,4,8,west,0,25,45
265,6,6,4,8,west,0,24,45
266,6,6,4,8,north,0,24,38
267,6,5,5,8,east,0,24,35
268,6,6,6,8,south,0,26,42
269,6,5,6,8,west,0,25,45
270,6,4,7,8,west,0,25,45
271,6,4,7,8,south,0,25,43
272,6,5,7,8,north,0,26,40
273,6,4,8,8,east,0,26,28
274,6,3,9,8,south,0,26,45
275,6,3,9,8,south,0,26,45
276,6,3,9,8,west,0,26,45
277,6,2,9,8,north,0,25,34
278,6,2,9,8,east,0,25,14
279,6,2,9,8,south,0,25,45
280,6,2,9,8,south,0,25,45
281,6,3,9,8,west,0,26,45
282,6,2,9,8,north,0,25,34
283,6,2,9,8,east,0,25,14
284,6,3,9,8,south,0,26,45
285,6,2,9,8,south,0,25,45
286,6,2,9,8,west,0,25,44
287,6,2,9,8,north,0,25,34
288,6,2,9,8,east,0,25,14
289,6,2,9,8,south,0,25,45
290,6,2,9,8,south,0,25,45
291,6,2,9,8,west,0,25,44
292,6,2,9,8,north,0,25,34
293,6,2,9,8,east,0,25,14
294,6,3,9,8,south,0,26,45
295,6,3,9,8,south,0,26,45
296,6,3,9,8,west,0,26,45
297,6,3,9,8,north,0,26,36
298,6,3,9,8,east,0,26,21
299,6,2,9,8,south,0,25,45
300,6,2,9,8,south,0,25,45
301,6,2,9,8,west,0,25,44
302,6,2,9,8,north,0,25,34
303,6,1,9,8,east,0,24,12
304,6,1,9,8,south,0,24,45
305,6,1,9,8,south,0,24,45
306,6,0,7,8,west,0,21,40
307,6,0,7,8,north,0,21,30
308,6,0,7,7,south,0,20,35
309,6,0,6,7,west,0,19,35
310,6,0,5,7,north,0,18,30
311,6,0,6,6,south,0,18,30
312,6,0,4,6,north,0,16,30
313,6,0,4,6,north,0,16,30
314,6,0,4,7,west,0,17,35
315,6,0,4,7,south,0,17,20
316,6,0,3,7,west,0,16,35
317,6,0,3,7,west,0,16,35
318,6,0,3,7,north,0,16,30
319,6,0,3,7,south,0,16,15
320,6,0,2,7,west,0,15,35
321,6,0,2,7,west,0,15,35
322,6,0,2,7,north,0,15,30
323,6,0,2,7,south,0,15,12
324,6,0,3,7,west,0,16,35
325,6,0,2,7,west,0,15,35
326,6,0,2,7,north,0,15,30
327,6,0,2,7,south,0,15,12
328,5,0,2,7,west,0,14,35
329,5,0,2,7,west,0,14,35
330,5,0,2,7,north,0,14,25
331,5,0,3,7,south,0,15,15
332,5,0,3,7,west,0,15,35
333,5,0,2,7,west,0,14,35
334,6,0,3,7,north,0,16,30
335,6,0,3,7,south,0,16,15
336,6,0,2,7,west,0,15,35
337,6,0,2,7,west,0,15,35
338,6,0,2,7,north,0,15,30
339,6,0,2,7,south,0,15,12
340,6,0,2,7,west,0,15,35
341,6,0,2,7,west,0,15,35
342,6,0,2,7,north,0,15,30
343,6,0,1,7,south,0,14,12
344,6,0,1,7,west,0,14,35
345,5,0,1,7,west,0,13,35
346,5,0,0,7,north,0,12,25
347,5,0,0,7,west,0,12,35
348,5,0,0,7,west,0,12,35
349,5,0,0,7,north,0,12,25
350,5,0,0,7,west,0,12,35
351,5,0,0,5,north,0,10,25
352,5,0,0,5,west,0,10,25
353,5,0,0,5,north,0,10,25
354,5,0,0,3,north,0,8,25
355,5,0,0,3,west,0,8,15
356,5,0,0,3,north,0,8,25
357,5,0,0,3,north,0,8,25
358,5,0,0,3,west,0,8,15
359,5,0,0,3,north,0,8,25
360,5,0,0,3,north,0,8,25
361,5,0,0,3,west,0,8,15
362,5,0,0,4,north,0,9,25
363,5,0,0,3,north,0,8,25
364,5,0,0,3,west,0,8,15
365,5,0,0,3,north,0,8,25
366,5,0,0,2,north,0,7,25
367,5,0,0,2,west,0,7,12
368,5,0,0,3,north,0,8,25
369,5,0,0,2,north,0,7,25
370,5,0,0,2,west,0,7,12
371,5,0,0,3,north,0,8,25
372,5,0,0,3,north,0,8,25
373,5,0,0,3,west,0,8,15
374,5,0,0,3,north,0,8,25
375,5,0,0,3,north,0,8,25
376,5,0,0,4,west,0,9,20
377,5,0,0,3,north,0,8,25
378,5,0,0,3,north,0,8,25
379,5,0,0,3,west,0,8,15
380,5,0,0,3,north,0,8,25
381,5,0,0,3,north,0,8,25
382,5,0,0,4,west,0,9,20
383,5,0,0,4,north,0,9,25
384,5,0,0,2,north,0,7,25
385,5,0,0,3,west,0,8,15
386,5,0,0,3,north,0,8,25
387,5,0,0,2,north,0,7,25
388,5,0,0,3,west,0,8,15
389,5,0,0,4,north,0,9,25
390,5,0,0,3,north,0,8,25
391,5,0,0,3,west,0,8,15
392,5,0,0,3,north,0,8,25
393,5,0,0,3,north,0,8,25
394,5,0,0,3,west,0,8,15
395,5,0,0,2,north,0,7,25
396,5,0,0,2,north,0,7,25
397,5,0,0,2,west,0,7,12
398,5,0,0,2,north,0,7,25
399,5,0,0,3,north,0,8,25
400,5,0,0,3,west,0,8,15
401,5,0,0,3,north,0,8,25
